product_category_name,product_category_name_english
beleza_saude,health_beauty
informatica_acessorios,computers_accessories
automotivo,auto
cama_mesa_banho,bed_bath_table
moveis_decoracao,furniture_decor
esporte_lazer,sports_leisure
perfumaria,perfumery
utilidades_domesticas,housewares
telefonia,telephony
relogios_presentes,watches_gifts
alimentos_bebidas,food_drink
bebes,baby
papelaria,stationery
tablets_impressao_imagem,tablets_printing_image
brinquedos,toys
telefonia_fixa,fixed_telephony
ferramentas_jardim,garden_tools
fashion_bolsas_e_acessorios,fashion_bags_accessories
eletroportateis,small_appliances
consoles_games,consoles_games
audio,audio
fashion_calcados,fashion_shoes
cool_stuff,cool_stuff
malas_acessorios,luggage_accessories
climatizacao,air_conditioning
construcao_ferramentas_construcao,construction_tools_construction
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture
construcao_ferramentas_jardim,garden_tools
fashion_roupa_masculina,fashion_male_clothing
pet_shop,pet_shop
moveis_escritorio,office_furniture
market_place,market_place
eletrodomesticos,appliances
recarga_saldo,recharge_credit
artigos_de_natal,christmas_supplies
fashion_underwear_e_moda_praia,fashion_underwear_beach
flores,flowers
artes_e_artesanato,arts_and_craftmanship
alimentos,food
eletrônicos,electronics
eletrodomesticos_2,appliances_2
livros_tecnicos,books_technical
casa_conforto_2,home_comfort_2
musica,music
livros_interesse_geral,books_general_interest
construcao_ferramentas_iluminacao,construction_tools_lights
industria_comercio_e_negocios,industry_commerce_and_business
agro_industria_e_comercio,agro_industry_and_commerce
fashion_roupa_feminina,fashion_female_clothing
moveis_colchao_e_estofado,furniture_mattress_and_upholstery
livros_importados,books_imported
sinalizacao_e_seguranca,signaling_and_security
fashion_esporte,fashion_sport
seguros_e_servicos,insurance_and_services
la_cuisine,la_cuisine
casa_conforto,home_comfort
cds_dvds_musicais,cds_dvds_musicals
dvds_blu_ray,dvds_blu_ray
construcao_ferramentas_seguranca,construction_tools_safety
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee
musica_artistas_outros,others
pc_gamer,pc_gamer
fraldas_higiene,diapers_and_hygiene
artes,arts
fashion_roupa_infanto_juvenil,fashion_children_clothes
cine_foto,cinematography_and_photography
construcao_ferramentas_ferramentas,construction_tools_tools
bebidas,drinks
audio,audio
